Repository name;Repository owner;Stars;Total Pull Requests
freeCodeCamp;freeCodeCamp;387359;35868
free-programming-books;EbookFoundation;319267;9866
awesome;sindresorhus;299246;1986
public-apis;public-apis;291660;2890
coding-interview-university;jwasham;288287;943
developer-roadmap;kamranahmedse;273938;2712
996.ICU;996icu;269028;1970
build-your-own-x;codecrafters-io;256648;244
system-design-primer;donnemartin;253220;301
react;facebook;221563;14764
vue;vuejs;206890;2268
awesome-python;vinta;204573;1495
javascript-algorithms;trekhleb;182498;510
tensorflow;tensorflow;182324;25951
Python;TheAlgorithms;179188;9171
awesome-selfhosted;awesome-selfhosted;177294;3037
You-Dont-Know-JS;getify;176133;841
CS-Notes;CyC2018;172169;548
linux;torvalds;169867;470
ohmyzsh;ohmyzsh;168550;6830
project-based-learning;practical-tutorials;167450;329
bootstrap;twbs;167391;14994
computer-science;ossu;162491;428
flutter;flutter;161654;52181
AutoGPT;Significant-Gravitas;161055;3605
vscode;microsoft;158025;28673
gitignore;github;157550;3858
Python-100-Days;jackfrued;149829;148
the-art-of-command-line;jlevy;148509;463
JavaGuide;Snailclimb;142998;1287
javascript;airbnb;141662;1489
stable-diffusion-webui;AUTOMATIC1111;128986;2860
the-book-of-secret-knowledge;trimstray;128948;204
youtube-dl;ytdl-org;128350;4419
transformers;huggingface;124587;15164
fucking-algorithm;labuladong;123315;452
awesome-go;avelino;120423;4335
next.js;vercel;120351;20851
go;golang;119453;3396
30-seconds-of-code;Chalarangelo;119041;1604
react-native;facebook;115582;16490
electron;electron;111868;21531
tech-interview-handbook;yangshun;109641;526
free-programming-books-zh_CN;justjavac;109078;432
d3;d3;107611;1161
kubernetes;kubernetes;106652;78394
PowerToys;microsoft;104213;5123
axios;axios;103976;1448
node;nodejs;103633;32576
awesome-chatgpt-prompts;f;103258;284
create-react-app;facebook;101831;3788
scrcpy;Genymobile;101669;383
three.js;mrdoob;98770;15573
TypeScript;microsoft;97870;17031
nodebestpractices;goldbergyoni;96247;918
angular;angular;94457;26707
terminal;microsoft;93422;4079
deno;denoland;92859;12449
rust;rust-lang;92746;70834
material-ui;mui;91525;21778
ant-design;ant-design;90124;16887
clean-code-javascript;ryanmcdermott;89594;248
puppeteer;puppeteer;86723;5497
java-design-patterns;iluwatar;86362;1955
vue-element-admin;PanJiaChen;86300;475
free-for-dev;ripienaar;83693;3187
papers-we-love;papers-we-love;83193;509
godot;godotengine;82953;38197
storybook;storybookjs;82728;12067
thefuck;nvbn;82717;605
langchain;langchain-ai;82635;11188
Web-Dev-For-Beginners;microsoft;81390;780
animate.css;animate-css;79707;850
frp;fatedier;79502;844
realworld;gothinkster;78240;794
tailwindcss;tailwindlabs;78190;2597
iptv;iptv-org;77922;6839
pytorch;pytorch;77662;81851
tauri;tauri-apps;77117;4250
Awesome-Hacking;Hack-with-Github;77050;101
every-programmer-should-know;mtdvio;76760;142
laravel;laravel;76738;4732
django;django;76673;17860
models;tensorflow;76583;3630
svelte;sveltejs;76370;4672
neovim;neovim;76320;16701
bitcoin;bitcoin;75599;20263
nvm;nvm-sh;75494;1004
opencv;opencv;75447;14709
gin;gin-gonic;75391;1531
mall;macrozheng;75292;111
FiraCode;tonsky;75225;182
hello-algo;krahets;74878;931
app-ideas;florinpop17;74849;324
advanced-java;doocs;74200;118
Font-Awesome;FortAwesome;72989;655
spring-boot;spring-projects;72694;6165
excalidraw;excalidraw;72550;4147
hugo;gohugoio;72410;5052
awesome-mac;jaywcjlove;71188;931
json-server;typicode;71123;300
awesome-vue;vuejs;70904;3834
fastapi;tiangolo;70712;2916
bun;oven-sh;70403;3303
yt-dlp;yt-dlp;70190;2485
core;home-assistant;68483;66585
netdata;netdata;68064;9203
moby;moby;67688;24394
ChatGPT-Next-Web;ChatGPTNextWeb;67655;1656
elasticsearch;elastic;67512;71885
Front-End-Checklist;thedaviddias;67410;299
node;base-org;67107;115
awesome-interview-questions;DopplerHQ;67015;209
reveal.js;hakimel;66869;970
ML-For-Beginners;microsoft;66815;469
