Owner;Repository name;Title;Pull Request Number;Pull Request Created At;Pull Request Closed At;Total files;Additions;Deletions;Total reviews;Review decision;Participants;Comments;Body Text
freeCodeCamp;freeCodeCamp;Add AirBnB setting to jshint settings file.;2;2014-12-24T20:43:10Z;2014-12-27T06:16:17Z;2;100;1;0;;3;2;
freeCodeCamp;freeCodeCamp;Updated navbar to have clearer links to internal content and better mobile hamburger usability;5;2014-12-31T04:48:02Z;2014-12-31T04:48:08Z;10;122;106;0;;1;0;
freeCodeCamp;freeCodeCamp;Refactor Passport/update FCC link;7;2014-12-31T05:35:50Z;2015-01-20T17:29:39Z;2;51;42;0;;1;0;"Refactor passport to conform to jshint settings.
Remove html extension on FCC links in challenge
fixes #6"
freeCodeCamp;freeCodeCamp;Angular;8;2015-01-06T07:31:40Z;2015-01-06T07:33:03Z;38;61466;34;0;;2;0;
freeCodeCamp;freeCodeCamp;Merge in new public profiles and updated angular form;9;2015-01-09T06:34:30Z;2015-01-09T06:34:47Z;76;64419;3594;0;;2;0;
freeCodeCamp;freeCodeCamp;Update Branden's Team Member Bio;10;2015-01-09T15:55:49Z;2015-01-09T18:58:45Z;1;2;2;0;;2;0;"I know I entered massage therapist as most recent job on the initial form,
but that was two years ago. Plus, afterwards, I realized that writing a book for
a publisher counts as most recent job (I forget about freelance stuff sometimes)!
Also removed part about Hypercard because I figure most code campers
won't know what I was referring to."
freeCodeCamp;freeCodeCamp;Pull request twitter pic;12;2015-01-09T20:25:01Z;2015-01-10T04:33:39Z;1;2;2;0;;2;1;"The profile picture pulled from twitter with profile_image_url_https will have _normal.png attached to the end of the url. According to the Twitter Docs, normal = 48x48px (too small for the new bio pages).
I removed the last 11 characters ('_normal.png') and then added the .png back. I'm sure there is more elegant way to do it."
freeCodeCamp;freeCodeCamp;Angularize login;13;2015-01-10T03:10:26Z;2015-01-10T04:31:13Z;10;461;433;0;;1;0;Fixes email signup/signin issues and angularizes the email signup form. Also adds unique username check to profile.jade.
freeCodeCamp;freeCodeCamp;Angularize login;14;2015-01-10T04:32:22Z;2015-01-10T04:33:57Z;10;461;433;0;;2;0;Solve email login issues, angularize forms to extreme measures, prettify and give feedback in real time.
freeCodeCamp;freeCodeCamp;Forgot password;16;2015-01-10T05:23:28Z;2015-01-10T18:56:01Z;1;3;3;0;;2;1;
freeCodeCamp;freeCodeCamp;Edit wording of jquery exercises;21;2015-01-12T19:31:28Z;2015-01-13T06:12:42Z;1;4;4;0;;2;1;"Removed 'the' from some of the questions for consistency. The rule applied: either use ""the  element"" or only """" when not following with ""element."" Alternatively, instead of removing ""the,"" you could instead add ""element"" to the end of each reference to a target. But as it was, the wording was inconsistent.
Also removed extra ""from."""
