Owner,Repository name,Total PRs,Total reviews,Total files,Analysis time,Description,Interactions
2dust,v2rayN,42,000000000000000000000000000000000000000001,222195818211202422552919721111835112211211113534511,3.142857142857143,7248,0300000001000400010100268000002001000110010
3b1b,manim,88,0000000000020000010000000000000000000000000000000000000000000000000002000000000000000000,4133112111111111122911211121323233223112125443617463248311527698244453194512522311761116116,13.875,10327,20200120200000000001000200000000010000001030000000100000000100000000005000000000000020000
996icu,996.ICU,42,000100000017001010002000000000000000000000,111112111111111111111111111111111111112111,0.0,1342,000202002102730101140001000000000002100000000
AUTOMATIC1111,stable-diffusion-webui,30,000000000000000000000000000000,111111111111111111111111111111,0.0,3060,112000112000112000112000112000
Anduin2017,HowToCook,83,10000600001101030001010310110431413122412622310142300145111101112129131110124123113,111232323214411211119113111111211111122423232114332121123221212123221422111121112112,0.46987951807228917,2374,30010215101010150000200211040340705100311200101000000020000000001010000100010000100
Chalarangelo,30-seconds-of-code,80,201011211161111113011012142112011111211111111113101111211131111111012011141111110,1112111111221111112223312211111111211111211122121121110132112025231121122221111111,0.0375,6739,1000207002200021040111040110120251004060010000262010001510246000011451000202000150
ChatGPTNextWeb,ChatGPT-Next-Web,47,00000020000000000000000300000000000000010000001,1731112233512021112625221116222118112121119251612119,0.23404255319148937,2340,2101115222110211141222121514211112161111141114117
CyC2018,CS-Notes,79,0000000000000000000000000000000000000000000000000000000000000000000000000000000,1121111111111111111121111111111111111111111111111111112311111111111111111211310,0.02531645569620253,1502,00203001100100000060000100011010000100000000000010000001000019000000300000012010
Developer-Y,cs-video-courses,79,0000000000000000000000001000000000000000000000000000000000000000000000002000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111,3.7974683544303796,5405,2111111111111111111111111111001100000000100000210010000000000011111110211112011
DopplerHQ,awesome-interview-questions,89,00000000000000000000000000000000000000000000000000000010000002000000000000000000000000000,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,7.337078651685394,5888,02111403413121121110102701012101110111012111100121010310100111000000080111110111111000301
EbookFoundation,free-programming-books,89,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.6179775280898876,3810,11010000000200000000000000001000700000000010000011000001100000000300010000200000000000000
