Repository name,Repository owner
freeCodeCamp,freeCodeCamp
free-programming-books,EbookFoundation
awesome,sindresorhus
public-apis,public-apis
coding-interview-university,jwasham
developer-roadmap,kamranahmedse
996.ICU,996icu
build-your-own-x,codecrafters-io
system-design-primer,donnemartin
react,facebook
vue,vuejs
awesome-python,vinta
tensorflow,tensorflow
javascript-algorithms,trekhleb
Python,TheAlgorithms
awesome-selfhosted,awesome-selfhosted
You-Dont-Know-JS,getify
CS-Notes,CyC2018
linux,torvalds
ohmyzsh,ohmyzsh
